MID,V MC,Discover,Amex
1239220055013255,2.99,2.99,2.99
1239220055013339,2.99,2.99,2.99
1239220055013347,2.99,2.99,2.99
1239220055013404,2.99,2.99,2.99
1239220055013412,2.99,2.99,2.99
1239220055013446,2.99,2.99,2.99
1239220055013495,2.99,2.99,2.99
1239220055013503,2.99,2.99,2.99
1239220055013511,2.99,2.99,2.99
1239220055013578,2.99,2.99,2.99
1239220055013610,2.99,2.99,2.99
1239220055013644,2.99,2.99,2.99
1239220055013693,2.99,2.99,2.99
1239220055013701,2.99,2.99,2.99
1239220055013719,2.99,2.99,2.99
1239220055013818,2.99,2.99,2.99
1239220055013826,2.99,2.99,2.99
1239220055013859,2.99,2.99,2.99
1239220055013883,2.99,2.99,2.99
1239220055013891,2.99,2.99,2.99
1239220055013909,2.99,2.99,2.99
1239220055013925,2.99,2.99,2.99
1239220055013941,2.99,2.99,2.99
1239220055013966,2.99,2.99,2.99
1239220055013974,2.99,2.99,2.99
1239220055013982,2.99,2.99,2.99
1239220055013990,2.99,2.99,2.99
1239220055014006,2.99,2.99,2.99
1239220055014055,2.99,2.99,2.99
1239220055014089,2.99,2.99,2.99
1239220055014121,2.99,2.99,2.99
1239220055014162,2.99,2.99,2.99
1239220055014170,2.99,2.99,2.99
1239220055014188,2.99,2.99,2.99
1239220055014196,2.99,2.99,2.99
1239220055014212,2.99,2.99,2.99
1239220055014238,2.99,2.99,2.99
1239220055014246,2.99,2.99,2.99
1239220055014253,2.99,2.99,2.99
1239220055014279,2.99,2.99,2.99
1239220055014303,2.99,2.99,2.99
1239220055014311,2.99,2.99,2.99
1239220055014329,2.99,2.99,2.99
1239220055014337,2.99,2.99,2.99
1239220055014352,2.99,2.99,2.99
1239220055014386,2.99,2.99,2.99
1239220055014402,2.99,2.99,2.99
1239220055014410,2.99,2.99,2.99
1239220055014428,2.99,2.99,2.99
1239220055014444,2.99,2.99,2.99
1239220055014535,2.99,2.99,2.99
1239220055014550,2.99,2.99,2.99
1239220055014584,2.99,2.99,2.99
1239220055014634,2.99,2.99,2.99
1239220055015318,2.99,2.99,2.99
1239220055015326,2.99,2.99,2.99
1239220055015458,2.99,2.99,2.99
1239220055015466,2.99,2.99,2.99
1239220055015482,2.99,2.99,2.99
1239220055015490,2.99,2.99,2.99
1239220055015508,2.99,2.99,2.99
1239220055015722,2.99,2.99,2.99
1239220055015748,2.99,2.99,2.99
1239220055015755,2.99,2.99,2.99
1239220055015797,2.99,2.99,2.99
1239220055015813,2.99,2.99,2.99
1239220055015821,2.99,2.99,2.99
1239220055015839,2.99,2.99,2.99
1239220055015854,2.99,2.99,2.99
1239220055015862,2.99,2.99,2.99
1239220055015870,2.99,2.99,2.99
1239220055015904,2.99,2.99,2.99
1239220055015912,2.99,2.99,2.99
1239220055015938,2.99,2.99,2.99
1239220055015946,2.99,2.99,2.99
1239220055015953,2.99,2.99,2.99
1239220055015961,2.99,2.99,2.99
1239220055015987,2.99,2.99,2.99
1239220055015995,2.99,2.99,2.99
1239220055016092,2.99,2.99,2.99
1239220055016100,2.99,2.99,2.99
1239220055016118,2.99,2.99,2.99
1239220055016126,2.99,2.99,2.99
1239220055016142,2.99,2.99,2.99
1239220055016159,2.99,2.99,2.99
1239220055016167,2.99,2.99,2.99
1239220055016175,2.99,2.99,2.99
1239220055016183,2.99,2.99,2.99
1239220055016209,2.99,2.99,2.99
1239220055016282,2.99,2.99,2.99
1239220055016290,2.99,2.99,2.99
1239220055016324,2.99,2.99,2.99
1239220055016332,2.99,2.99,2.99
1239220055016365,2.99,2.99,2.99
1239220055016381,2.99,2.99,2.99
1239220055016423,2.99,2.99,2.99
1239220055016449,2.99,2.99,2.99
1239220055016456,2.99,2.99,2.99
1239220055016472,2.99,2.99,2.99
1239220055016480,2.99,2.99,2.99
1239220055016514,2.99,2.99,2.99
1239220055016530,2.99,2.99,2.99
1239220055016548,2.99,2.99,2.99
1239220055016555,2.99,2.99,2.99
1239220055016563,2.99,2.99,2.99
1239220055016571,2.99,2.99,2.99
1239220055016605,2.99,2.99,2.99
1239220055016613,2.99,2.99,2.99
1239220055016639,2.99,2.99,2.99
1239220055016654,2.99,2.99,2.99
1239220055016662,2.99,2.99,2.99
1239220055016720,2.99,2.99,2.99
1239220055016746,2.99,2.99,2.99
1239220055016787,2.99,2.99,2.99
1239220055016860,2.99,2.99,2.99
1239220055016902,2.99,2.99,2.99
1239220055016910,2.99,2.99,2.99
1239220055016977,2.99,2.99,2.99
1239220055016985,2.99,2.99,2.99
1239220055017017,2.99,2.99,2.99
1239220055017025,2.99,2.99,2.99
1239220055017041,2.99,2.99,2.99
1239220055017074,2.99,2.99,2.99
1239220055017082,2.99,2.99,2.99
1239220055017116,2.99,2.99,2.99
1239220055017124,2.99,2.99,2.99
1239220055017132,2.99,2.99,2.99
1239220055017140,2.99,2.99,2.99
1239220055017165,2.99,2.99,2.99
1239220055017173,2.99,2.99,2.99
1239220055017181,2.99,2.99,2.99
1239220055017207,2.99,2.99,2.99
1239220055017256,2.99,2.99,2.99
1239220055017264,2.99,2.99,2.99
1239220055017280,2.99,2.99,2.99
1239220055017314,2.99,2.99,2.99
1239220055017322,2.99,2.99,2.99
1239220055017330,2.99,2.99,2.99
1239220055017348,2.99,2.99,2.99
1239220055017363,2.99,2.99,2.99
1239220055017389,2.99,2.99,2.99
1239220055017397,2.99,2.99,2.99
1239220055017439,2.99,2.99,2.99
1239220055017447,2.99,2.99,2.99
1239220055017454,2.99,2.99,2.99
1239220055017470,2.99,2.99,2.99
1239220055017512,2.99,2.99,2.99
1239220055017637,2.99,2.99,2.99
1239220055017652,2.99,2.99,2.99
1239220055017660,2.99,2.99,2.99
1239220055017876,2.99,2.99,2.99
1239220055018221,2.99,2.99,2.99
1239220055018262,2.99,2.99,2.99
1239220055018270,2.99,2.99,2.99
1239220055018296,2.99,2.99,2.99
1239220055018353,2.99,2.99,2.99
1239220055018387,2.99,2.99,2.99
1239220055018403,2.99,2.99,2.99
1239220055018411,2.99,2.99,2.99
1239220055018429,2.99,2.99,2.99
1239220055018445,2.99,2.99,2.99
1239220055018452,2.99,2.99,2.99
1239220055018460,2.99,2.99,2.99
1239220055018510,2.99,2.99,2.99
1239220055018536,2.99,2.99,2.99
1239220055018551,2.99,2.99,2.99
1239220055018569,2.99,2.99,2.99
1239220055018700,2.99,2.99,2.99
1239220055018718,2.99,2.99,2.99
1239220055018916,2.99,2.99,2.99
1239220055018924,2.99,2.99,2.99
1239220055018957,2.99,2.99,2.99
1239220055018973,2.99,2.99,2.99
1239220055018981,2.99,2.99,2.99
1239220055019005,2.99,2.99,2.99
1239220055019047,2.99,2.99,2.99
1239220055019120,2.99,2.99,2.99
1239220055019146,2.99,2.99,2.99
1239220055019153,2.99,2.99,2.99
1239220055019294,2.99,2.99,2.99
1239220055019344,2.99,2.99,2.99
1239220055019351,2.99,2.99,2.99
1239220055019369,2.99,2.99,2.99
1239220055019393,2.99,2.99,2.99
1239220055019401,2.99,2.99,2.99
1239220055019609,2.99,2.99,2.99
1239220055019617,2.99,2.99,2.99
1239220055020078,2.99,2.99,2.99
1239220055020136,2.99,2.99,2.99
1239220055021191,2.99,2.99,2.99
1239220055021225,2.99,2.99,2.99
1239220055021241,2.99,2.99,2.99
1239220055021258,2.99,2.99,2.99
1239220055021266,2.99,2.99,2.99
1239220055021274,2.99,2.99,2.99
1239220055021290,2.99,2.99,2.99
1239220055021373,2.99,2.99,2.99
1239220055021381,2.99,2.99,2.99
1239220055021399,2.99,2.99,2.99
1239220055021423,2.99,2.99,2.99
1239220055021431,2.99,2.99,2.99
1239220055021449,2.99,2.99,2.99
1239220055021464,2.99,2.99,2.99
1239220055021498,2.99,2.99,2.99
1239220055021514,2.99,2.99,2.99
1239220055021522,2.99,2.99,2.99
1239220055021563,2.99,2.99,2.99
1239220055021571,2.99,2.99,2.99
1239220055021621,2.99,2.99,2.99
1239220055021654,2.99,2.99,2.99
1239220055021670,2.99,2.99,2.99
1239220055021696,2.99,2.99,2.99
1239220055021720,2.99,2.99,2.99
1239220055021746,2.99,2.99,2.99
1239220055022256,2.99,2.99,2.99
1239220055022454,2.99,2.99,2.99
1239220055022470,2.99,2.99,2.99
1239220055022488,2.99,2.99,2.99
1239220055022520,2.99,2.99,2.99
1239220055022587,2.99,2.99,2.99
1239220055022603,2.99,2.99,2.99
1239220055022629,2.99,2.99,2.99
1239220055022645,2.99,2.99,2.99
1239220055022702,2.99,2.99,2.99
1239220055022728,2.99,2.99,2.99
1239220055022751,2.99,2.99,2.99
1239220055022769,2.99,2.99,2.99
1239220055022793,2.99,2.99,2.99
1239220055022801,2.99,2.99,2.99
1239220055022827,2.99,2.99,2.99
1239220055022835,2.99,2.99,2.99
1239220055022843,2.99,2.99,2.99
1239220055022850,2.99,2.99,2.99
1239220055022868,2.99,2.99,2.99
1239220055022884,2.99,2.99,2.99
1239220055022926,2.99,2.99,2.99
1239220055022934,2.99,2.99,2.99
1239220055022942,2.99,2.99,2.99
1239220055022959,2.99,2.99,2.99
1239220055022967,2.99,2.99,2.99
1239220055022975,2.99,2.99,2.99
1239220055022983,2.99,2.99,2.99
1239220055023072,2.99,2.99,2.99
1239220055023098,2.99,2.99,2.99
1239220055023130,2.99,2.99,2.99
1239220055023148,2.99,2.99,2.99
1239220055023155,2.99,2.99,2.99
1239220055023171,2.99,2.99,2.99
1239220055023221,2.99,2.99,2.99
1239220055023239,2.99,2.99,2.99
1239220055023247,2.99,2.99,2.99
1239220055023254,2.99,2.99,2.99
1239220055023270,2.99,2.99,2.99
1239220055023288,2.99,2.99,2.99
1239220055023296,2.99,2.99,2.99
1239220055023312,2.99,2.99,2.99
1239220055023320,2.99,2.99,2.99
1239220055023338,2.99,2.99,2.99
1239220055023361,2.99,2.99,2.99
1239220055023379,2.99,2.99,2.99
1239220055023395,2.99,2.99,2.99
1239220055023403,2.99,2.99,2.99
1239220055023411,2.99,2.99,2.99
1239220055023429,2.99,2.99,2.99
1239220055023486,2.99,2.99,2.99
1239220055023494,2.99,2.99,2.99
1239220055023544,2.99,2.99,2.99
1239220055023551,2.99,2.99,2.99
1239220055023569,2.99,2.99,2.99
1239220055023585,2.99,2.99,2.99
1239220055023668,2.99,2.99,2.99
1239220055023718,2.99,2.99,2.99
1239220055023767,2.99,2.99,2.99
1239220055023775,2.99,2.99,2.99
1239220055023791,2.99,2.99,2.99
1239220055023809,2.99,2.99,2.99
1239220055023825,2.99,2.99,2.99
1239220055023833,2.99,2.99,2.99
1239220055024070,2.99,2.99,2.99
1239220055024112,2.99,2.99,2.99
1239220055024120,2.99,2.99,2.99
1239220055024138,2.99,2.99,2.99
1239220055024146,2.99,2.99,2.99
1239220055024161,2.99,2.99,2.99
1239220055024179,2.99,2.99,2.99
1239220055024187,2.99,2.99,2.99
1239220055024195,2.99,2.99,2.99
1239220055024237,2.99,2.99,2.99
1239220055024245,2.99,2.99,2.99
1239220055024260,2.99,2.99,2.99
1239220055024278,2.99,2.99,2.99
1239220055024286,2.99,2.99,2.99
1239220055024302,2.99,2.99,2.99
1239220055024385,2.99,2.99,2.99
1239220055024401,2.99,2.99,2.99
1239220055024419,2.99,2.99,2.99
1239220055024443,2.99,2.99,2.99
1239220055024450,2.99,2.99,2.99
1239220055024468,2.99,2.99,2.99
1239220055024567,2.99,2.99,2.99
1239220055024583,2.99,2.99,2.99
1239220055024617,2.99,2.99,2.99
1239220055024633,2.99,2.99,2.99
1239220055024682,2.99,2.99,2.99
1239220055024690,2.99,2.99,2.99
1239220055024708,2.99,2.99,2.99
1239220055024724,2.99,2.99,2.99
1239220055024732,2.99,2.99,2.99
1239220055024740,2.99,2.99,2.99
1239220055024823,2.99,2.99,2.99
1239220055024831,2.99,2.99,2.99
1239220055024955,2.99,2.99,2.99
1239220055025069,2.99,2.99,2.99
1239220055025077,2.99,2.99,2.99
1239220055025093,2.99,2.99,2.99
1239220055025101,2.99,2.99,2.99
1239220055025119,2.99,2.99,2.99
1239220055025143,2.99,2.99,2.99
1239220055025168,2.99,2.99,2.99
1239220055025176,2.99,2.99,2.99
1239220055025267,2.99,2.99,2.99
1239220055025291,2.99,2.99,2.99
1239220055025358,2.99,2.99,2.99
1239220055025366,2.99,2.99,2.99
1239220055025382,2.99,2.99,2.99
1239220055026539,2.99,2.99,2.99
1239220055026638,2.99,2.99,2.99
1239220055026646,2.99,2.99,2.99
1239220055026729,2.99,2.99,2.99
1239220055026737,2.99,2.99,2.99
1239220055026760,2.99,2.99,2.99
1239220055026794,2.99,2.99,2.99
1239220055026802,2.99,2.99,2.99
1239220055026810,2.99,2.99,2.99
1239220055026836,2.99,2.99,2.99
1239220055026844,2.99,2.99,2.99
1239220055026851,2.99,2.99,2.99
1239220055026877,2.99,2.99,2.99
1239220055026943,2.99,2.99,2.99
1239220055026950,2.99,2.99,2.99
1239220055026984,2.99,2.99,2.99
1239220055027008,2.99,2.99,2.99
1239220055027016,2.99,2.99,2.99
1239220055027032,2.99,2.99,2.99
1239220055027057,2.99,2.99,2.99
1239220055027107,2.99,2.99,2.99
1239220055027131,2.99,2.99,2.99
1239220055027164,2.99,2.99,2.99
1239220055027172,2.99,2.99,2.99
1239220055027180,2.99,2.99,2.99
1239220055027222,2.99,2.99,2.99
1239220055027230,2.99,2.99,2.99
1239220055027594,2.99,2.99,2.99
1239220055027602,2.99,2.99,2.99
1239220055027628,2.99,2.99,2.99
1239220055027644,2.99,2.99,2.99
1239220055027651,2.99,2.99,2.99
1239220055027685,2.99,2.99,2.99
1239220055027701,2.99,2.99,2.99
1239220055027719,2.99,2.99,2.99
1239220055027727,2.99,2.99,2.99
1239220055027792,2.99,2.99,2.99
1239220055027826,2.99,2.99,2.99
1239220055027834,2.99,2.99,2.99
1239220055027859,2.99,2.99,2.99
1239220055027909,2.99,2.99,2.99
1239220055027917,2.99,2.99,2.99
1239220055027933,2.99,2.99,2.99
1239220055027941,2.99,2.99,2.99
1239220055027958,2.99,2.99,2.99
1239220055028014,2.99,2.99,2.99
1239220055028139,2.99,2.99,2.99
1239220055028154,2.99,2.99,2.99
1239220055028196,2.99,2.99,2.99
1239220055028246,2.99,2.99,2.99
1239220055028279,2.99,2.99,2.99
1239220055028337,2.99,2.99,2.99
1239220055028345,2.99,2.99,2.99
1239220055028360,2.99,2.99,2.99
1239220055028394,2.99,2.99,2.99
1239220055028410,2.99,2.99,2.99
1239220055028428,2.99,2.99,2.99
1239220055028451,2.99,2.99,2.99
1239220055028543,2.99,2.99,2.99
1239220055028550,2.99,2.99,2.99
1239220055028576,2.99,2.99,2.99
1239220055028584,2.99,2.99,2.99
1239220055028592,2.99,2.99,2.99
1239220055028626,2.99,2.99,2.99
1239220055028766,2.99,2.99,2.99
1239220055028774,2.99,2.99,2.99
1239220055028808,2.99,2.99,2.99
1239220055028840,2.99,2.99,2.99
1239220055028857,2.99,2.99,2.99
1239220055028873,2.99,2.99,2.99
1239220055028881,2.99,2.99,2.99
1239220055028907,2.99,2.99,2.99
1239220055028915,2.99,2.99,2.99
1239220055028956,2.99,2.99,2.99
1239220055028972,2.99,2.99,2.99
1239220055028980,2.99,2.99,2.99
1239220055029020,2.99,2.99,2.99
1239220055029038,2.99,2.99,2.99
1239220055029095,2.99,2.99,2.99
1239220055029103,2.99,2.99,2.99
1239220055029111,2.99,2.99,2.99
1239220055029129,2.99,2.99,2.99
1239220055029160,2.99,2.99,2.99
1239220055029236,2.99,2.99,2.99
1239220055029251,2.99,2.99,2.99
1239220055029350,2.99,2.99,2.99
1239220055029368,2.99,2.99,2.99
1239220055029376,2.99,2.99,2.99
1239220055029384,2.99,2.99,2.99
1239220055029392,2.99,2.99,2.99
1239220055029400,2.99,2.99,2.99
1239220055029418,2.99,2.99,2.99
1239220055029467,2.99,2.99,2.99
1239220055029483,2.99,2.99,2.99
1239220055029517,2.99,2.99,2.99
1239220055029574,2.99,2.99,2.99
1239220055029608,2.99,2.99,2.99
1239220055029616,2.99,2.99,2.99
1239220055029624,2.99,2.99,2.99
1239220055029673,2.99,2.99,2.99
1239220055029699,2.99,2.99,2.99
1239220055029723,2.99,2.99,2.99
1239220055029731,2.99,2.99,2.99
1239220055029764,2.99,2.99,2.99
1239220055029772,2.99,2.99,2.99
1239220055029780,2.99,2.99,2.99
1239220055029798,2.99,2.99,2.99
1239220055029806,2.99,2.99,2.99
1239220055029814,2.99,2.99,2.99
1239220055029830,2.99,2.99,2.99
1239220055029848,2.99,2.99,2.99
1239220055029855,2.99,2.99,2.99
1239220055029947,2.99,2.99,2.99
1239220055029954,2.99,2.99,2.99
1239220055029970,2.99,2.99,2.99
1239220055029988,2.99,2.99,2.99
1239220055030002,2.99,2.99,2.99
1239220055030028,2.99,2.99,2.99
1239220055030036,2.99,2.99,2.99
1239220055030069,2.99,2.99,2.99
1239220055030077,2.99,2.99,2.99
1239220055030085,2.99,2.99,2.99
1239220055030119,2.99,2.99,2.99
1239220055030135,2.99,2.99,2.99
1239220055030150,2.99,2.99,2.99
1239220055030168,2.99,2.99,2.99
1239220055030267,2.99,2.99,2.99
1239220055030275,2.99,2.99,2.99
1239220055030283,2.99,2.99,2.99
1239220055030317,2.99,2.99,2.99
1239220055030325,2.99,2.99,2.99
1239220055030333,2.99,2.99,2.99
1239220055030341,2.99,2.99,2.99
1239220055030358,2.99,2.99,2.99
1239220055030382,2.99,2.99,2.99
1239220055030390,2.99,2.99,2.99
1239220055030408,2.99,2.99,2.99
1239220055030416,2.99,2.99,2.99
1239220055030481,2.99,2.99,2.99
1239220055030507,2.99,2.99,2.99
1239220055030515,2.99,2.99,2.99
1239220055030523,2.99,2.99,2.99
1239220055030556,2.99,2.99,2.99
1239220055030564,2.99,2.99,2.99
1239220055030572,2.99,2.99,2.99
1239220055030580,2.99,2.99,2.99
1239220055030598,2.99,2.99,2.99
1239220055030606,2.99,2.99,2.99
1239220055030614,2.99,2.99,2.99
1239220055030622,2.99,2.99,2.99
1239220055030655,2.99,2.99,2.99
1239220055030689,2.99,2.99,2.99
1239220055030697,2.99,2.99,2.99
1239220055030705,2.99,2.99,2.99
1239220055030713,2.99,2.99,2.99
1239220055030762,2.99,2.99,2.99
1239220055031240,2.99,2.99,2.99
1239220055031265,2.99,2.99,2.99
1239220055031299,2.99,2.99,2.99
1239220055031315,2.99,2.99,2.99
1239220055031323,2.99,2.99,2.99
1239220055031331,2.99,2.99,2.99
1239220055031349,2.99,2.99,2.99
1239220055031356,2.99,2.99,2.99
1239220055031380,2.99,2.99,2.99
1239220055031471,2.99,2.99,2.99
1239220055031505,2.99,2.99,2.99
1239220055031513,2.99,2.99,2.99
1239220055031596,2.99,2.99,2.99
1239220055031604,2.99,2.99,2.99
1239220055031612,2.99,2.99,2.99
1239220055031620,2.99,2.99,2.99
1239220055031638,2.99,2.99,2.99
1239220055031653,2.99,2.99,2.99
1239220055031695,2.99,2.99,2.99
1239220055031703,2.99,2.99,2.99
1239220055031745,2.99,2.99,2.99
1239220055031752,2.99,2.99,2.99
1239220055031786,2.99,2.99,2.99
1239220055031844,2.99,2.99,2.99
1239220055031877,2.99,2.99,2.99
1239220055031893,2.99,2.99,2.99
1239220055031919,2.99,2.99,2.99
1239220055031943,2.99,2.99,2.99
1239220055031968,2.99,2.99,2.99
1239220055031976,2.99,2.99,2.99
1239220055031992,2.99,2.99,2.99
1239220055032008,2.99,2.99,2.99
1239220055032149,2.99,2.99,2.99
1239220055032180,2.99,2.99,2.99
1239220055032206,2.99,2.99,2.99
1239220055032214,2.99,2.99,2.99
1239220055032248,2.99,2.99,2.99
1239220055032263,2.99,2.99,2.99
1239220055032289,2.99,2.99,2.99
1239220055032313,2.99,2.99,2.99
1239220055032347,2.99,2.99,2.99
1239220055032396,2.99,2.99,2.99
1239220055032420,2.99,2.99,2.99
1239220055032438,2.99,2.99,2.99
1239220055032446,2.99,2.99,2.99
1239220055032495,2.99,2.99,2.99
1239220055032537,2.99,2.99,2.99
1239220055032552,2.99,2.99,2.99
1239220055032560,2.99,2.99,2.99
1239220055032578,2.99,2.99,2.99
1239220055032610,2.99,2.99,2.99
1239220055032636,2.99,2.99,2.99
1239220055032669,2.99,2.99,2.99
1239220055032677,2.99,2.99,2.99
1239220055032693,2.99,2.99,2.99
1239220055032701,2.99,2.99,2.99
1239220055032719,2.99,2.99,2.99
1239220055032727,2.99,2.99,2.99
1239220055032743,2.99,2.99,2.99
1239220055032784,2.99,2.99,2.99
1239220055032917,2.99,2.99,2.99
1239220055032925,2.99,2.99,2.99
1239220055032933,2.99,2.99,2.99
1239220055032958,2.99,2.99,2.99
1239220055033006,2.99,2.99,2.99
1239220055033014,2.99,2.99,2.99
1239220055033030,2.99,2.99,2.99
1239220055033048,2.99,2.99,2.99
1239220055033063,2.99,2.99,2.99
1239220055033071,2.99,2.99,2.99
1239220055033097,2.99,2.99,2.99
1239220055033105,2.99,2.99,2.99
1239220055033113,2.99,2.99,2.99
1239220055033121,2.99,2.99,2.99
1239220055033139,2.99,2.99,2.99
1239220055033147,2.99,2.99,2.99
1239220055033154,2.99,2.99,2.99
1239220055033162,2.99,2.99,2.99
1239220055033204,2.99,2.99,2.99
1239220055033212,2.99,2.99,2.99
1239220055033253,2.99,2.99,2.99
1239220055033261,2.99,2.99,2.99
1239220055033279,2.99,2.99,2.99
1239220055033295,2.99,2.99,2.99
1239220055033303,2.99,2.99,2.99
1239220055033311,2.99,2.99,2.99
1239220055033337,2.99,2.99,2.99
1239220055033345,2.99,2.99,2.99
1239220055033352,2.99,2.99,2.99
1239220055033360,2.99,2.99,2.99
1239220055033386,2.99,2.99,2.99
1239220055033394,2.99,2.99,2.99
1239220055033436,2.99,2.99,2.99
1239220055033576,2.99,2.99,2.99
1239220055033584,2.99,2.99,2.99
1239220055033592,2.99,2.99,2.99
1239220055033600,2.99,2.99,2.99
1239220055033618,2.99,2.99,2.99
1239220055033626,2.99,2.99,2.99
1239220055033634,2.99,2.99,2.99
1239220055033659,2.99,2.99,2.99
1239220055033667,2.99,2.99,2.99
1239220055033675,2.99,2.99,2.99
1239220055033725,2.99,2.99,2.99
1239220055033741,2.99,2.99,2.99
1239220055033758,2.99,2.99,2.99
1239220055033808,2.99,2.99,2.99
1239220055033816,2.99,2.99,2.99
1239220055033824,2.99,2.99,2.99
1239220055033832,2.99,2.99,2.99
1239220055033873,2.99,2.99,2.99
1239220055033915,2.99,2.99,2.99
1239220055033956,2.99,2.99,2.99
1239220055033980,2.99,2.99,2.99
1239220055034004,2.99,2.99,2.99
1239220055034038,2.99,2.99,2.99
1239220055034046,2.99,2.99,2.99
1239220055034053,2.99,2.99,2.99
1239220055034087,2.99,2.99,2.99
1239220055034095,2.99,2.99,2.99
1239220055034145,2.99,2.99,2.99
1239220055034228,2.99,2.99,2.99
1239220055034269,2.99,2.99,2.99
1239220055034277,2.99,2.99,2.99
1239220055034327,2.99,2.99,2.99
1239220055034343,2.99,2.99,2.99
1239220055034368,2.99,2.99,2.99
1239220055034426,2.99,2.99,2.99
1239220055034434,2.99,2.99,2.99
1239220055034442,2.99,2.99,2.99
1239220055034459,2.99,2.99,2.99
1239220055034467,2.99,2.99,2.99
1239220055034491,2.99,2.99,2.99
1239220055034509,2.99,2.99,2.99
1239220055034517,2.99,2.99,2.99
1239220055034525,2.99,2.99,2.99
1239220055034533,2.99,2.99,2.99
1239220055034541,2.99,2.99,2.99
1239220055034558,2.99,2.99,2.99
1239220055034566,2.99,2.99,2.99
1239220055034574,2.99,2.99,2.99
1239220055034616,2.99,2.99,2.99
1239220055034681,2.99,2.99,2.99
1239220055034897,2.99,2.99,2.99
1239220055005525,2.09,2.09,2.09
1239220055005590,2.09,2.09,2.09
1239220055005608,2.09,2.09,2.09
1239220055005616,2.09,2.09,2.09
1239220055005624,2.09,2.09,2.09
1239220055005632,2.09,2.09,2.09
1239220055005640,2.09,2.09,2.09
1239220055005657,2.09,2.09,2.09
1239220055005665,2.09,2.09,2.09
1239220055005673,2.09,2.09,2.09
1239220055005681,2.09,2.09,2.09
1239220055005699,2.09,2.09,2.09
1239220055005707,2.09,2.09,2.09
1239220055005715,2.09,2.09,2.09
1239220055006796,2.09,2.09,2.09
1239220055006911,2.09,2.09,2.09
1239220055009865,2.09,2.09,2.09
1239220055009873,2.09,2.09,2.09
1239220055010368,2.09,2.09,2.09
1239220055010434,2.09,2.09,2.09
1239220055013628,2.09,2.09,2.09
1239220055014139,2.09,2.09,2.09
1239220055015730,2.09,2.09,2.09
1239220055016274,2.09,2.09,2.09
1239220055016308,2.09,2.09,2.09
1239220055016316,2.09,2.09,2.09
1239220055016399,2.09,2.09,2.09
