MID,MID Type,DBA,Client ID,Partner,Submitted Date,Approval Date,Related Acquiring MID,Rep,,,
13559,Gateway,Real Life Counseling - 3606 Main Street,"10005683 - Real Life Counseling, PLLC",Office Ally,2020-03-24,2020-03-24,1239220055034541,AxiaMed House,,,
356259,Gateway,JMeds,10003602 - JMeds,Bonafide,2019-09-05,2019-09-05,1239220055030945,AxiaMed House,,,
13560,Gateway,"Lotus Integrated Health, LLC","10004131 - Lotus Integrated Health, LLC",Office Ally,2020-03-24,2020-03-24,1239220055034566,AxiaMed House,,,
13561,Gateway,Real Life Counseling - 105 West Main Street,"10005683 - Real Life Counseling, PLLC",Office Ally,2020-03-24,2020-03-24,1239220055034558,AxiaMed House,,,
241587,Gateway,Alternative Care Providers Inc,"10000271 - Alternative Care Providers, Inc.",Bonafide,2015-10-08,2015-10-08,1239220055002423,AxiaMed House,,,
241589,Gateway,Regenerative Ortho & Sports Medicine (MD),10008133 - Regenerative Orthopedics and Sports Medicine,Bonafide,2015-10-08,2015-10-08,1239220055002548,AxiaMed House,,,
241607,Gateway,Regenerative Ortho & Sports Medicine (VA),10008133 - Regenerative Orthopedics and Sports Medicine,Bonafide,2015-10-08,2015-10-08,1239220055002555,AxiaMed House,,,
241687,Gateway,Regenerative Ortho & Sports Medicine (DC),10008133 - Regenerative Orthopedics and Sports Medicine,Bonafide,2015-10-09,2015-10-09,1239220055002563,AxiaMed House,,,
241780,Gateway,Healthcare Medsupply LLC,"10003169 - Healthcare Medsupply, LLC",Bonafide,2015-10-12,2015-10-12,1239220055002522,AxiaMed House,,,
241784,Gateway,Airlink Homecare LLC,"10000190 - Airlink Homecare, LLC",Bonafide,2015-10-12,2015-10-12,1239220055002613,AxiaMed House,,,
245657,Gateway,Anything Medical,10000368 - Anything Medical,Bonafide,2015-11-18,2015-11-18,1239220055003207,AxiaMed House,,,
247171,Gateway,"Medhome Specialty Services, LLC","10004335 - Medhome Specialty Services, LLC",Bonafide,2015-12-08,2015-12-08,1239220055003355,AxiaMed House,,,
295053,Gateway,"ERMI, Inc.","10002512 - ERMI, Inc.",Bonafide,2017-03-30,2017-03-30,1239220055007083,AxiaMed House,,,
303935,Gateway,All American Medical Equipment,10000213 - All American Medical Equipment,Bonafide,2017-06-30,2017-06-30,1239220055010285,AxiaMed House,,,
338515,Gateway,"Areli Medical Devices, LLC","10000482 - Areli Medical Devices, LLC",Bonafide,2018-11-14,2018-11-14,1239220055023163,AxiaMed House,,,
358178,Gateway,"Synergy Healthcare, LLC","10007019 - Synergy Healthcare, LLC",Bonafide,2019-10-09,2019-10-09,1239220055031851,AxiaMed House,,,
13562,Gateway,Elite Sports Physical Therapy,10002430 - Elite Sports Physical Therapy,Office Ally,2020-03-25,2020-03-25,1239220055034616,AxiaMed House,,,
13563,Gateway,Healthy Edge Physical Therapy Inc.,10003177 - Healthy Edge Physical Therapy Inc.,MWTherapy,2020-03-25,2020-03-25,1239220055034624,AxiaMed House,,,
13565,Gateway,Access Rehab Clinics,10000072 - Access Rehab Clinics,MWTherapy,2020-03-30,2020-03-30,1239220055034657,AxiaMed House,,,
13566,Gateway,Resilience Physical Therapy and Wellness,10005748 - Resilience Physical Therapy and Wellness,MWTherapy,2020-03-31,2020-03-31,1239220055034665,AxiaMed House,,,
13567,Gateway,Hope Chiropractic,10003309 - Hope Chiropractic,Office Ally,2020-03-31,2020-03-31,1239220055034673,AxiaMed House,,,
13569,Gateway,Integrative Mental Health and Wellness,10003452 - Integrative Mental Health and Wellness,Office Ally,2020-04-02,2020-04-02,1239220055034715,AxiaMed House,,,
13570,Gateway,"Southern Dutchess Behavioral Group, LLC",10006574 - Southern Dutchess Behavioral Group,Office Ally,2020-04-06,2020-04-06,1239220055034723,AxiaMed House,,,
13571,Gateway,Community Rehab Care,10001512 - Community Rehab Care,MWTherapy,2020-04-08,2020-04-08,1239220055034764,AxiaMed House,,,
13573,Gateway,"Our Meadows, LLC","10005078 - Our Meadows, LLC",Office Ally,2020-04-17,2020-04-17,1239220055034871,AxiaMed House,,,
13574,Gateway,A PATHWAY TO HEALING COUNSELING SERVICES LLC,"10000033 - A Pathway to Healing Counseling Services, LLC",Office Ally,2020-04-17,2020-04-17,1239220055028915,AxiaMed House,,,
13578,Gateway,Meghan Chamberlin LMHC Inc,10004372 - Meghan Chamberlin LMHC Inc,Office Ally,2020-04-23,2020-04-23,1239220055034921,AxiaMed House,,,
13579,Gateway,Child & Family Services of Southeast Alabama,10001231 - Child & Family Services of Southeast Alabama,Office Ally,2020-04-23,2020-04-23,1239220055034905,AxiaMed House,,,
13580,Gateway,Pflug Family Chiropractic,10005385 - Pflug Family Chiropractic,Office Ally,2020-04-28,2020-04-28,1239220055035043,AxiaMed House,,,
13581,Gateway,Lakeshore Integrative HealthCare,10003902 - Lakeshore Integrative HealthCare,Office Ally,2020-04-29,2020-04-29,1239220055035100,AxiaMed House,,,
13582,Gateway,BSHSI-22708Main,10004404 - Mercy Health,Experian Health,2020-04-29,2020-04-29,1239220055035118,AxiaMed House,,,
13583,Gateway,BSHSI-2790Godwin,10004404 - Mercy Health,Experian Health,2020-04-29,2020-04-29,1239220055035126,AxiaMed House,,,
13584,Gateway,BSMH-241CDimmock,10004404 - Mercy Health,Experian Health,2020-04-30,2020-04-30,1239220055035134,AxiaMed House,,,
13585,Gateway,BSMH-436ClairmontCt,10004404 - Mercy Health,Experian Health,2020-04-30,2020-04-30,1239220055035142,AxiaMed House,,,
13587,Gateway,"Henegar Counseling, LLC","10003207 - Henegar Counseling, LLC",Office Ally,2020-05-01,2020-05-01,1239220055035084,AxiaMed House,,,
13591,Gateway,Advanced Bio-Identical Hormone Therapy,10000126 - Advanced Bio-Identical Hormone Therapy,Office Ally,2020-05-06,2020-05-06,1239220055034277,AxiaMed House,,,
397359,Gateway,The Sleep &amp; Wellness Center at One Nineteen,10008092 - Med-South,Bonafide,2021-12-09,2021-12-09,1239220055047493,AxiaMed House,,,
397358,Gateway,Eastside PET Center,10008092 - Med-South,Bonafide,2021-12-09,2021-12-09,1239220055047501,AxiaMed House,,,
397361,Gateway,"St. Vincent's PET Center, LLC",10008092 - Med-South,Bonafide,2021-12-09,2021-12-09,1239220055047519,AxiaMed House,,,
13592,Gateway,Integrated Holistic Solutions PLLC,"10003446 - Integrated Holistic Solutions, PLLC",Office Ally,2020-05-06,2020-05-06,1239220055015839,AxiaMed House,,,
16514,Gateway,Bayside Veterinary Care,10009790 - Bayside Veterinary Care,CareCredit,2022-01-24,2022-01-24,,AxiaMed House,,,
16524,Gateway,"The Contact Lens and Eyecare Clinic, Inc.","10009806 - The Contact Lens and Eyecare Clinic, Inc.",CareCredit,2022-01-31,2022-01-31,,AxiaMed House,,,
14159,Gateway,Long Branch Dental Center,10004109 - Long Branch Dental Center,CareCredit,2020-10-30,2020-10-30,,AxiaMed House,,,
14160,Gateway,Oxford Dental Clinic,10005088 - Oxford Dental Clinic,CareCredit,2020-10-30,2020-10-30,,AxiaMed House,,,
14162,Gateway,Carroll County Dental Associates,10001065 - Carroll County Dental Associates,CareCredit,2020-10-30,2020-10-30,,AxiaMed House,,,
14163,Gateway,McOmie Family Dentistry,10004320 - Mcomie Family Dentistry,CareCredit,2020-10-30,2020-10-30,,AxiaMed House,,,
14164,Gateway,Advantage Dental Care,10000141 - Advantage Dental Care,CareCredit,2020-10-30,2020-10-30,,AxiaMed House,,,
14165,Gateway,Star Brite Dental,10006791 - Star Brite Dental,CareCredit,2020-10-30,2020-10-30,,AxiaMed House,,,
14166,Gateway,Aloha Pet & Bird Hospital,10000265 - Aloha Pet & Bird Hospital,CareCredit,2020-10-30,2020-10-30,,AxiaMed House,,,
14167,Gateway,Scottsdale Veterinary Clinic,10006055 - Scottsdale Veterinary Clinic,CareCredit,2020-10-30,2020-10-30,,AxiaMed House,,,
14168,Gateway,VERGI,10007615 - Vergi,CareCredit,2020-10-30,2020-10-30,,AxiaMed House,,,
14169,Gateway,Northlake Veterinary Surgery LLC,"10004905 - Northlake Veterinary Surgery, Llc",CareCredit,2020-10-30,2020-10-30,,AxiaMed House,,,
14170,Gateway,Veterinary Specialties Referral Center LLC,"10007622 - Veterinary Specialties Referral Center, Llc",CareCredit,2020-10-30,2020-10-30,,AxiaMed House,,,
14171,Gateway,Green Dental,10003022 - Green Dental,CareCredit,2020-10-30,2020-10-30,,AxiaMed House,,,
14172,Gateway,Eyecrafters,10002563 - Eyecrafters,CareCredit,2020-10-30,2020-10-30,,AxiaMed House,,,
14173,Gateway,"Charles J. Boettcher, DDS","10001184 - Charles J. Boettcher, DDS",CareCredit,2020-10-30,2020-10-30,,AxiaMed House,,,
14174,Gateway,"Jose M. Longoria III, DC PA","10003638 - Jose M. Longoria III, DC PA",CareCredit,2020-10-30,2020-10-30,,AxiaMed House,,,
14175,Gateway,Cataract Glaucoma and Retina Consultants of East T,10001088 - Cataract Glaucoma And Retina Consultants Of East Texas,CareCredit,2020-10-30,2020-10-30,,AxiaMed House,,,
14176,Gateway,Vision World - Bronx,10007655 - Vision World - Bronx,CareCredit,2020-10-30,2020-10-30,,AxiaMed House,,,
14177,Gateway,Dr. Nader D Ghiassi,10002230 - Dr. Nader D. Ghiassi,CareCredit,2020-10-30,2020-10-30,,AxiaMed House,,,
14178,Gateway,Lone Tree Veterinary Medical Ctr.,10004108 - Lone Tree Veterinary Medical Center,CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14179,Gateway,Park Community Animal Hospital,10005246 - Park Community Animal Hospital,CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14180,Gateway,Preventive Medicine Associates,10005517 - Preventive Medicine Associates,CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14181,Gateway,"Suffolk Plastic Surgeons, PC","10006872 - Suffolk Plastic Surgeons, PC",CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14182,Gateway,"Jeffrey Phen, DDS","10003566 - Jeffrey Phen, DDS",CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14184,Gateway,Altitude Veterinary Hospital,10000273 - Altitude Veterinary Hospital,CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14185,Gateway,NSU College of Dental Med Davie,10004930 - Nsu College Of Dental Med Davie,CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14186,Gateway,Quality Dental,10005637 - Quailty Dental,CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14187,Gateway,"Ferzaad Moosa, MD, Inc","10002630 - Ferzaad Moosa, MD, Inc.",CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14188,Gateway,Bascom Palmer Surgery Center,10000664 - Bascom Palmer Surgery Center,CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14189,Gateway,LASIK of Nevada Reno,10003933 - LASIK of Nevada Reno,CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14190,Gateway,LASIK of Nevada,10003932 - LASIK of Nevada,CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14191,Gateway,Corsi Hoey Pearson Professional Corp.,10001579 - Corsi Hoey Pearson Professional Corp.,CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14192,Gateway,BR Cosmetics,10000849 - BR Cosmetics,CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14193,Gateway,Brooklyn Vistasite Eyecare,10000903 - Brooklyn Vistasite Eyecare,CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14195,Gateway,"Jay Platt, DDS, PC","10003546 - Jay Platt, DDS, PC",CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14196,Gateway,Toledo Lasik Center,10007296 - Toledo Lasik Center,CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14197,Gateway,New Frontier Animal Medical Center,10004773 - New Frontier Animal Medical Center,CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14198,Gateway,Palm Harbor Plastic Surgery Center,10005129 - Palm Harbor Plastic Surgery Center,CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14199,Gateway,Daniel S Thomas MD,"10001739 - Daniel S. Thomas, MD",CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14200,Gateway,South Gate Dog and Cat Hospital,10006547 - South Gate Dog And Cat Hospital,CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14201,Gateway,Moriches Hospital for Animals,10004607 - Moriches Hospital For Animals,CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14202,Gateway,Kanawha Valley Veterinary Emergency Hospital,10003676 - Kanawha Valley Veterinary Emergency Hospital,CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14205,Gateway,Veterinary Medical Specialists of Houston,10007621 - Veterinary Medical Specialists Of Houston,CareCredit,2020-11-02,2020-11-02,,AxiaMed House,,,
14220,Gateway,ALTITUDE VETERINARY HOSPITAL (East),10000274 - Altitude Veterinary Hospital (East),CareCredit,2020-11-06,2020-11-06,,AxiaMed House,,,
14368,Gateway,Freedom Dental,10008262 - Freedom Dental,CareCredit,2021-01-06,2021-01-06,,AxiaMed House,,,
14452,Gateway,Bangor Veterinary Clinic,10008357 - Gobles and Bangor Veterinary Clinic,CareCredit,2021-02-02,2021-02-02,,AxiaMed House,,,
14457,Gateway,"T. John Megas, DMD","10008400 - T. John Megas, DMD",CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14459,Gateway,Aesthetic Periodontal Associates,10008379 - Aesthetic Periodontal Associates,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14460,Gateway,South Lake Animal Clinic,10008378 - South Lake Animal Clinic,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14461,Gateway,Island Dental,10008358 - Island Dental,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14462,Gateway,Selinsgrove Veterinary Hospital,10008399 - Selinsgrove Veterinary Hospital,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14463,Gateway,Mind Body Spirit Care,10008359 - Mind Body Spirit Care,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14464,Gateway,Parschauer Eye Center,10008377 - Parschauer Eye Center,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14465,Gateway,Southbay Periodontics and Implantology,10008360 - Southbay Periodontics and Implantology,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14466,Gateway,Best Care Pet Hospital,10008361 - Best Care Pet Hospital,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14467,Gateway,"Mark J. Elmore, DDS","10008362 - Mark J. Elmore, DDS",CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14468,Gateway,"Augusta Plastic Surgery Associates, PC","10008363 - Augusta Plastic Surgery Associates, PC",CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14469,Gateway,ACE Veterinary Hospital,10008376 - ACE Veterinary Hospital,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14470,Gateway,Windsor Park Animal Hospital,10008364 - Windsor Park Animal Hospital,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14471,Gateway,Williamson Animal Hospital,10008367 - Williamson Animal Hospital,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14472,Gateway,Shadid Plastic Surgery Associates,10008368 - Shadid Plastic Surgery Associates,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14473,Gateway,Town & Country Animal Hospital,10008375 - Town & Country Animal Hospital,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14474,Gateway,DNA Optics,10008365 - DNA Optics,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14475,Gateway,Groveport Dental,10008369 - Groveport Dental,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14476,Gateway,Pearsall Veterinary Hosptial,10008366 - Pearsall Veterinary Hosptial,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14478,Gateway,"Boris Shnayder, DDS","10008371 - Boris Shnayder, DDS",CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14479,Gateway,Carolina Hair Surgery,10008374 - Carolina Hair Surgery,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14480,Gateway,"Clinton Animal Hospital, LLC","10008396 - Clinton Animal Hospital, LLC",CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14481,Gateway,Shallowford Smiles,10008372 - Shallowford Smiles,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14482,Gateway,"Plastic Surgery of Palm Beach, PA","10008373 - Plastic Surgery of Palm Beach, PA",CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14483,Gateway,Lakeview Veterinary Hospital,10008395 - Lakeview Veterinary Hospital,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14484,Gateway,Wellsville Veterinary Hospital,10008387 - Wellsville Veterinary Hospital,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14485,Gateway,Family VetCare of Mesa,10008394 - Family VetCare of Mesa,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14486,Gateway,"David Ronto, DDS & Associates","10008381 - David Ronto, DDS & Associates",CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14487,Gateway,Hilltop Animal Hospital,10008389 - Hilltop Animal Hospital,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14488,Gateway,"Mad River Veterinary Hospital, LLC","10008390 - Mad River Veterinary Hospital, LLC",CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14489,Gateway,"Barrington Prodental Care, PC","10008382 - Barrington Prodental Care, PC",CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14490,Gateway,West Villa Maria Vet Clinic,10008391 - West Villa Maria Vet Clinic,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14491,Gateway,Family Vetcare of Phoenix,10008393 - Family Vetcare of Phoenix,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14492,Gateway,Animal Health Center,10008392 - Animal Health Center,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14493,Gateway,"Alford Avenue Veterinary Hospital, PC","10008386 - Alford Avenue Veterinary Hospital, PC",CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14494,Gateway,"Timothy Hale, DDS","10008383 - Timothy Hale, DDS",CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14495,Gateway,Godspeed Animal Care,10008385 - Godspeed Animal Care,CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14496,Gateway,"Richard L. Muller, Jr., DDS, PC","10008384 - Richard L. Muller, Jr., DDS, PC",CareCredit,2021-02-03,2021-02-03,,AxiaMed House,,,
14497,Gateway,"Zsambeky, Chaney & Associates Family Dentistry","10008407 - Zsambeky, Chaney & Associates Family Dentistry",CareCredit,2021-02-04,2021-02-04,,AxiaMed House,,,
14498,Gateway,"Complete Hearing Solutions, PC","10008405 - Complete Hearing Solutions, PC",CareCredit,2021-02-04,2021-02-04,,AxiaMed House,,,
14499,Gateway,Union City Veterinary Medical Center & Emergency C,10008404 - Union City Veterinary Medical Center & Emergency Clinic,CareCredit,2021-02-04,2021-02-04,,AxiaMed House,,,
14500,Gateway,"Lori Gossard, DVM","10008403 - Lori Gossard, DVM",CareCredit,2021-02-04,2021-02-04,,AxiaMed House,,,
14508,Gateway,Westfield Veterinary Care,10008402 - Westfield Veterinary Care,CareCredit,2021-02-08,2021-02-08,,AxiaMed House,,,
14509,Gateway,Avon Lake Animal Clinic,10008401 - Avon Lake Animal Clinic,CareCredit,2021-02-08,2021-02-08,,AxiaMed House,,,
14515,Gateway,Williamsburg Animal Clinic,10008418 - Williamsburg Animal Clinic,CareCredit,2021-02-09,2021-02-09,,AxiaMed House,,,
14517,Gateway,Root Animal Clinic,10008416 - Root Animal Clinic,CareCredit,2021-02-09,2021-02-09,,AxiaMed House,,,
14518,Gateway,"Randall W. Hight, DMD","10008413 - Randall W. Hight, DMD",CareCredit,2021-02-09,2021-02-09,,AxiaMed House,,,
14519,Gateway,Denver West Dental Group,10008411 - Denver West Dental Group,CareCredit,2021-02-09,2021-02-09,,AxiaMed House,,,
14520,Gateway,"Sweet River Equine Clinic, Inc.","10008410 - Sweet River Equine Clinic, Inc.",CareCredit,2021-02-09,2021-02-09,,AxiaMed House,,,
14521,Gateway,"MG Pet Clinic, Inc.","10008409 - MG Pet Clinic, Inc.",CareCredit,2021-02-09,2021-02-09,,AxiaMed House,,,
14542,Gateway,Golden Animal Hospital Inc.,"10008436 - Golden Animal Hospital, Inc.",CareCredit,2021-02-12,2021-02-12,,AxiaMed House,,,
